0.0837,0.1203,0.0737,0.1152,0.0837,0.1312,0.0684,0.3766,0.0673,0.3054,0.1035,0.1146,0.0771,0.144,0.0901,0.0249,0.0898,0.1972,0.09,0.1999,0.0589,1
0.104,0.1396,0.0853,0.1423,0.0679,0.0835,0.0921,0.4713,0.0903,0.3168,0.123,0.1637,0.0929,0.155,0.1218,0.0922,0.0867,0.2105,0.0937,0.2182,0.0768,1
0.1038,0.0823,0.113,0.208,0.0592,0.0536,0.1009,0.4938,0.0763,0.3906,0.0974,0.1938,0.094,0.1408,0.1222,0.1273,0.0832,0.2051,0.1016,0.2282,0.0729,1
0.1156,0.1456,0.0792,0.1175,0.1064,0.0942,0.0774,0.2827,0.0861,0.3686,0.1017,0.1239,0.0919,0.154,0.1062,0.1046,0.0885,0.1909,0.0969,0.206,0.0903,1
0.1095,0.1757,0.0876,0.1412,0.0731,0.128,0.09,0.4365,0.0879,0.4265,0.1128,0.1627,0.0866,0.1403,0.1045,0.1217,0.0628,0.1702,0.0818,0.2131,0.076,1
0.1243,0.1841,0.0768,0.1568,0.085,0.1539,0.0826,0.8558,0.0686,0.5318,0.1078,0.2989,0.0792,0.1566,0.1161,0.1362,0.0679,0.2666,0.1222,0.4134,0.07,1
0.0927,0.194,0.0808,0.1357,0.0602,0.1112,0.0755,0.3713,0.0908,0.3906,0.1096,0.2096,0.0898,0.1836,0.1096,0.0753,0.0766,0.1721,0.0884,0.2361,0.0705,1
0.1241,0.2019,0.0829,0.1745,0.0734,0.131,0.0787,0.8622,0.0723,0.6002,0.1206,0.2642,0.0829,0.2875,0.1307,0.1413,0.0845,0.2505,0.0813,0.3092,0.0821,1
0.1056,0.1755,0.0781,0.1391,0.0898,0.1613,0.0826,0.77,0.0718,0.6947,0.131,0.486,0.0692,0.1609,0.1262,0.0697,0.0772,0.1944,0.1169,0.2976,0.081,1
0.1291,0.2515,0.1059,0.2495,0.104,0.2038,0.09,1.0556,0.0913,1.2564,0.1454,0.755,0.0956,0.153,0.1457,0.1629,0.0866,0.2341,0.0845,0.3232,0.0813,1
0.1074,0.1525,0.0871,0.1447,0.0713,0.1241,0.0863,0.5423,0.0834,0.4042,0.0988,0.1859,0.0924,0.1326,0.1016,0.1204,0.0668,0.1734,0.0858,0.2089,0.0884,1
0.0607,0.1102,0.0768,0.1512,0.061,0.0909,0.0671,0.3312,0.0755,0.3199,0.1099,0.1416,0.0781,0.1589,0.0847,0.0383,0.0755,0.1766,0.0671,0.1733,0.0713,1
0.0919,0.1607,0.08,0.1529,0.0706,0.046,0.0874,0.3236,0.099,0.3696,0.0985,0.2059,0.0995,0.1376,0.126,0.0753,0.0888,0.1859,0.0993,0.2098,0.0789,1
0.133,0.1638,0.0977,0.1648,0.1177,0.1243,0.1088,0.3437,0.1454,0.4469,0.1391,0.1827,0.1219,0.164,0.1429,0.1009,0.102,0.2804,0.1127,0.2451,0.1027,1
0.1069,0.1322,0.07,0.1373,0.0774,0.0991,0.0908,0.4098,0.0792,0.3806,0.1342,0.1643,0.0752,0.3249,0.1412,0.2025,0.0887,0.2035,0.0797,0.1973,0.0726,1
0.094,0.1607,0.09,0.1375,0.0755,0.1164,0.1056,0.2721,0.0882,0.3588,0.1212,0.1658,0.0871,0.1519,0.1143,0.1302,0.0895,0.2017,0.1109,0.2557,0.0697,1
0.157,0.1865,0.1204,0.1555,0.1299,0.1455,0.0932,0.2924,0.142,0.4142,0.1383,0.1143,0.1378,0.1888,0.1357,0.1048,0.1244,0.1555,0.1576,0.277,0.1314,1
0.0826,0.0936,0.0708,0.1426,0.0521,0.0346,0.0745,0.2025,0.0784,0.5424,0.0906,0.2281,0.0779,0.1432,0.1138,0.0758,0.0658,0.1682,0.0705,0.1659,0.0742,1
0.0752,0.2029,0.118,0.2196,0.0797,0.2995,0.1035,0.6294,0.0808,0.363,0.0985,0.2307,0.1016,0.1806,0.1072,0.1144,0.0808,0.1916,0.0961,0.2702,0.104,1
0.0607,0.1482,0.1037,0.1473,0.089,0.1318,0.0892,0.2626,0.0971,0.4078,0.113,0.1389,0.0826,0.1447,0.0816,0.0481,0.0842,0.2111,0.0924,0.2348,0.0729,1
0.1428,0.2256,0.0961,0.1199,0.1154,0.1344,0.0998,0.3573,0.1051,0.5367,0.1502,0.2093,0.1053,0.1202,0.1513,0.07,0.1115,0.1669,0.142,0.2984,0.1132,1
0.1027,0.1781,0.0729,0.1418,0.0792,0.1544,0.0744,0.614,0.0919,0.7332,0.1101,0.2529,0.108,0.2297,0.0898,0.3128,0.1053,0.7067,0.1299,0.3063,0.0784,1
0.1541,0.1733,0.0768,0.1734,0.0718,0.1262,0.0792,0.4315,0.0689,0.3643,0.0877,0.1561,0.0789,0.1371,0.0974,0.0766,0.0768,0.19,0.0934,0.3118,0.0987,1
0.0942,0.1348,0.0734,0.141,0.0642,0.0893,0.0705,0.3304,0.0892,0.35,0.1,0.1591,0.0766,0.1115,0.1109,0.1355,0.0623,0.1599,0.0887,0.1923,0.0832,1
0.0937,0.1514,0.0702,0.113,0.0647,0.1114,0.0818,0.3386,0.0913,0.3228,0.0922,0.1637,0.0781,0.0927,0.1204,0.0919,0.0711,0.1555,0.0771,0.1907,0.0462,1
0.0404,0.3504,0.0766,0.1344,0.0631,0.1215,0.0731,0.3573,0.0932,0.4063,0.098,0.1571,0.0803,0.1564,0.0912,0.0265,0.0695,0.184,0.0602,0.2034,0.062,1
0.1106,0.1195,0.0908,0.1346,0.0898,0.0792,0.0932,0.3222,0.0929,0.4078,0.0993,0.1954,0.0993,0.1509,0.1241,0.1484,0.0911,0.1777,0.1362,0.2303,0.0855,1
0.0789,0.0907,0.0839,0.1586,0.0755,0.093,0.0977,0.4371,0.1043,0.4134,0.1048,0.1383,0.0998,0.1946,0.1194,0.0579,0.122,0.2447,0.1014,0.2295,0.0808,1
0.1481,0.3963,0.1053,0.1642,0.1106,0.1629,0.0919,0.5569,0.1119,0.4832,0.1428,0.1745,0.1183,0.1656,0.1373,0.1225,0.1194,0.1859,0.1499,0.2704,0.1077,1
0.0966,0.1797,0.0771,0.1296,0.0839,0.1425,0.0755,0.7357,0.08,0.9406,0.1027,0.2257,0.1114,0.126,0.1262,0.1403,0.0787,0.2138,0.0882,0.2868,0.0634,1
0.1233,0.1187,0.0797,0.184,0.0893,0.0077,0.0726,0.5674,0.0953,0.3984,0.0985,0.1162,0.0747,0.1719,0.1127,0.1344,0.0697,0.2003,0.0855,0.2039,0.0797,1
0.1328,0.2072,0.0731,0.1291,0.0821,0.1542,0.0808,1.0408,0.0892,0.6203,0.1454,0.7195,0.1365,0.2931,0.1621,0.2332,0.1172,0.2705,0.1085,0.2847,0.0945,1
0.1014,0.1391,0.0905,0.1219,0.0657,0.1027,0.0824,0.4547,0.0734,0.3353,0.1024,0.1476,0.0676,0.1334,0.1006,0.0565,0.0648,0.1659,0.0615,0.1754,0.0599,1
0.1188,0.209,0.0668,0.093,0.0866,0.141,0.0781,0.3903,0.0784,0.3849,0.1104,0.1532,0.0758,0.1392,0.0993,0.0827,0.0776,0.1668,0.0871,0.2195,0.0821,1
0.1072,0.1034,0.0837,0.1394,0.0697,0.0872,0.0737,0.2785,0.08,0.3606,0.0856,0.1046,0.0863,0.1516,0.1004,0.0571,0.0666,0.1508,0.0781,0.1683,0.0692,1
0.08,0.1039,0.0858,0.1434,0.0731,0.1623,0.0774,0.5102,0.0758,0.3171,0.1029,0.1317,0.0789,0.145,0.1077,0.1365,0.0681,0.1718,0.0808,0.1818,0.0829,1
